Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auprc,CLMBR_DAPT,CLMBR_SK,"0.106 [0.068, 0.153]","0.114 [0.079, 0.159]","-0.008 [-0.026, 0.013]",0.406,8
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.717 [0.657, 0.776]","0.737 [0.669, 0.803]","-0.019 [-0.04, 0.003]",0.092,8
auroc,CLMBR_DAPT,CLMBR_SK,"0.719 [0.66, 0.776]","0.742 [0.677, 0.801]","-0.022 [-0.043, 0.001]",0.062,8
ece,CLMBR_DAPT,CLMBR_SK,"0.012 [0.006, 0.02]","0.012 [0.006, 0.022]","-0.0 [-0.002, 0.001]",0.79,8
auprc,CLMBR_DAPT,CLMBR_SK,"0.089 [0.056, 0.129]","0.085 [0.052, 0.132]","0.004 [-0.023, 0.032]",0.8,4
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.674 [0.616, 0.731]","0.671 [0.61, 0.735]","0.003 [-0.034, 0.046]",0.91,4
auroc,CLMBR_DAPT,CLMBR_SK,"0.672 [0.614, 0.727]","0.674 [0.613, 0.737]","-0.004 [-0.043, 0.043]",0.876,4
ece,CLMBR_DAPT,CLMBR_SK,"0.013 [0.007, 0.021]","0.015 [0.007, 0.026]","-0.002 [-0.006, 0.0]",0.168,4
auprc,CLMBR_DAPT,CLMBR_SK,"0.136 [0.092, 0.192]","0.134 [0.094, 0.182]","0.002 [-0.011, 0.015]",0.712,16
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.764 [0.695, 0.825]","0.767 [0.693, 0.836]","-0.003 [-0.022, 0.019]",0.766,16
auroc,CLMBR_DAPT,CLMBR_SK,"0.77 [0.698, 0.83]","0.774 [0.701, 0.843]","-0.005 [-0.025, 0.018]",0.624,16
ece,CLMBR_DAPT,CLMBR_SK,"0.011 [0.005, 0.019]","0.011 [0.005, 0.018]","0.0 [-0.001, 0.001]",0.782,16
auprc,CLMBR_DAPT,GBM,"0.196 [0.13, 0.264]","0.086 [0.054, 0.129]","0.107 [0.066, 0.159]",0.0,64
auprc_c,CLMBR_DAPT,GBM,"0.829 [0.764, 0.881]","0.702 [0.656, 0.75]","0.126 [0.094, 0.161]",0.0,64
auroc,CLMBR_DAPT,GBM,"0.833 [0.771, 0.885]","0.704 [0.666, 0.748]","0.127 [0.091, 0.16]",0.0,64
ece,CLMBR_DAPT,GBM,"0.008 [0.004, 0.013]","0.011 [0.006, 0.02]","-0.004 [-0.008, -0.001]",0.004,64
auprc,CLMBR_DAPT,GBM,"0.106 [0.068, 0.153]","0.045 [0.019, 0.086]","0.059 [0.036, 0.092]",0.0,8
auprc_c,CLMBR_DAPT,GBM,"0.717 [0.657, 0.776]","0.564 [0.543, 0.59]","0.151 [0.108, 0.197]",0.0,8
auroc,CLMBR_DAPT,GBM,"0.719 [0.66, 0.776]","0.573 [0.553, 0.598]","0.144 [0.101, 0.19]",0.0,8
ece,CLMBR_DAPT,GBM,"0.012 [0.006, 0.02]","0.071 [0.045, 0.102]","-0.059 [-0.083, -0.038]",0.0,8
auprc,CLMBR_DAPT,CLMBR_SK,"0.072 [0.044, 0.112]","0.078 [0.051, 0.12]","-0.006 [-0.014, 0.004]",0.18,2
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.628 [0.587, 0.671]","0.646 [0.594, 0.703]","-0.018 [-0.042, 0.005]",0.09,2
auroc,CLMBR_DAPT,CLMBR_SK,"0.621 [0.581, 0.661]","0.639 [0.589, 0.694]","-0.019 [-0.048, 0.01]",0.162,2
ece,CLMBR_DAPT,CLMBR_SK,"0.015 [0.007, 0.025]","0.015 [0.007, 0.028]","-0.001 [-0.004, 0.001]",0.576,2
auprc,CLMBR,GBM,"0.062 [0.036, 0.099]","0.037 [0.013, 0.076]","0.023 [0.016, 0.032]",0.0,2
auprc_c,CLMBR,GBM,"0.605 [0.567, 0.637]","0.525 [0.51, 0.544]","0.078 [0.05, 0.108]",0.0,2
auroc,CLMBR,GBM,"0.598 [0.561, 0.631]","0.53 [0.512, 0.555]","0.066 [0.037, 0.096]",0.0,2
ece,CLMBR,GBM,"0.014 [0.006, 0.026]","0.169 [0.112, 0.225]","-0.155 [-0.202, -0.103]",0.0,2
auprc,CLMBR,CLMBR_SK,"0.171 [0.108, 0.237]","0.205 [0.134, 0.286]","-0.035 [-0.055, -0.014]",0.0,128
auprc_c,CLMBR,CLMBR_SK,"0.815 [0.755, 0.866]","0.843 [0.779, 0.896]","-0.029 [-0.04, -0.015]",0.0,128
auroc,CLMBR,CLMBR_SK,"0.82 [0.76, 0.87]","0.853 [0.79, 0.904]","-0.033 [-0.043, -0.021]",0.0,128
ece,CLMBR,CLMBR_SK,"0.008 [0.004, 0.013]","0.007 [0.004, 0.012]","0.0 [0.0, 0.001]",0.02,128
auprc,CLMBR,GBM,"0.194 [0.124, 0.276]","0.192 [0.119, 0.273]","0.002 [-0.021, 0.023]",0.872,512
auprc_c,CLMBR,GBM,"0.827 [0.773, 0.874]","0.798 [0.746, 0.845]","0.029 [0.015, 0.044]",0.0,512
auroc,CLMBR,GBM,"0.83 [0.779, 0.876]","0.792 [0.749, 0.835]","0.037 [0.019, 0.057]",0.0,512
ece,CLMBR,GBM,"0.01 [0.007, 0.013]","0.012 [0.007, 0.018]","-0.002 [-0.005, 0.0]",0.1,512
auprc,CLMBR_DAPT,CLMBR_SK,"0.242 [0.155, 0.334]","0.23 [0.144, 0.326]","0.011 [-0.009, 0.041]",0.4,512
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.854 [0.802, 0.9]","0.856 [0.803, 0.903]","-0.002 [-0.011, 0.008]",0.664,512
auroc,CLMBR_DAPT,CLMBR_SK,"0.858 [0.807, 0.902]","0.862 [0.81, 0.907]","-0.004 [-0.017, 0.008]",0.506,512
ece,CLMBR_DAPT,CLMBR_SK,"0.01 [0.007, 0.012]","0.009 [0.006, 0.012]","0.0 [-0.0, 0.001]",0.34,512
auprc,CLMBR,GBM,"0.109 [0.071, 0.154]","0.048 [0.02, 0.089]","0.058 [0.034, 0.09]",0.0,16
auprc_c,CLMBR,GBM,"0.734 [0.672, 0.789]","0.571 [0.541, 0.606]","0.161 [0.102, 0.217]",0.0,16
auroc,CLMBR,GBM,"0.738 [0.674, 0.793]","0.575 [0.547, 0.61]","0.161 [0.097, 0.216]",0.0,16
ece,CLMBR,GBM,"0.011 [0.005, 0.02]","0.02 [0.008, 0.036]","-0.009 [-0.016, -0.003]",0.0,16
auprc,CLMBR_DAPT,CLMBR_SK,"0.196 [0.13, 0.264]","0.185 [0.12, 0.261]","0.01 [-0.004, 0.026]",0.158,64
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.829 [0.764, 0.881]","0.83 [0.764, 0.887]","-0.002 [-0.012, 0.013]",0.752,64
auroc,CLMBR_DAPT,CLMBR_SK,"0.833 [0.771, 0.885]","0.839 [0.771, 0.894]","-0.006 [-0.016, 0.01]",0.404,64
ece,CLMBR_DAPT,CLMBR_SK,"0.008 [0.004, 0.013]","0.009 [0.004, 0.014]","-0.001 [-0.002, -0.0]",0.016,64
auprc,CLMBR_DAPT,GBM,"0.248 [0.159, 0.346]","0.214 [0.13, 0.308]","0.034 [0.003, 0.06]",0.03,1024
auprc_c,CLMBR_DAPT,GBM,"0.857 [0.805, 0.9]","0.812 [0.764, 0.858]","0.043 [0.033, 0.055]",0.0,1024
auroc,CLMBR_DAPT,GBM,"0.86 [0.809, 0.904]","0.809 [0.768, 0.85]","0.049 [0.036, 0.065]",0.0,1024
ece,CLMBR_DAPT,GBM,"0.013 [0.009, 0.018]","0.015 [0.009, 0.022]","-0.002 [-0.006, 0.001]",0.204,1024
auprc,CLMBR_DAPT,GBM,"0.219 [0.145, 0.296]","0.126 [0.081, 0.185]","0.091 [0.051, 0.136]",0.0,128
auprc_c,CLMBR_DAPT,GBM,"0.845 [0.783, 0.896]","0.755 [0.71, 0.801]","0.089 [0.066, 0.114]",0.0,128
auroc,CLMBR_DAPT,GBM,"0.85 [0.791, 0.899]","0.752 [0.713, 0.795]","0.095 [0.068, 0.123]",0.0,128
ece,CLMBR_DAPT,GBM,"0.007 [0.004, 0.012]","0.01 [0.006, 0.015]","-0.003 [-0.004, -0.001]",0.0,128
auprc,CLMBR,GBM,"0.075 [0.046, 0.116]","0.039 [0.015, 0.08]","0.035 [0.023, 0.05]",0.0,4
auprc_c,CLMBR,GBM,"0.652 [0.603, 0.693]","0.524 [0.514, 0.536]","0.127 [0.087, 0.162]",0.0,4
auroc,CLMBR,GBM,"0.652 [0.606, 0.689]","0.53 [0.517, 0.546]","0.121 [0.084, 0.151]",0.0,4
ece,CLMBR,GBM,"0.015 [0.007, 0.026]","0.162 [0.107, 0.223]","-0.148 [-0.198, -0.099]",0.0,4
auprc,CLMBR,CLMBR_SK,"0.109 [0.071, 0.154]","0.134 [0.094, 0.182]","-0.026 [-0.046, -0.009]",0.0,16
auprc_c,CLMBR,CLMBR_SK,"0.734 [0.672, 0.789]","0.767 [0.693, 0.836]","-0.033 [-0.058, -0.01]",0.002,16
auroc,CLMBR,CLMBR_SK,"0.738 [0.674, 0.793]","0.774 [0.701, 0.843]","-0.037 [-0.061, -0.012]",0.0,16
ece,CLMBR,CLMBR_SK,"0.011 [0.005, 0.02]","0.011 [0.005, 0.018]","0.0 [-0.001, 0.002]",0.584,16
auprc,CLMBR,GBM,"0.127 [0.082, 0.177]","0.049 [0.019, 0.089]","0.077 [0.049, 0.117]",0.0,32
auprc_c,CLMBR,GBM,"0.766 [0.702, 0.828]","0.577 [0.552, 0.598]","0.19 [0.135, 0.243]",0.0,32
auroc,CLMBR,GBM,"0.77 [0.711, 0.83]","0.586 [0.558, 0.609]","0.185 [0.127, 0.239]",0.0,32
ece,CLMBR,GBM,"0.01 [0.005, 0.016]","0.011 [0.005, 0.02]","-0.001 [-0.004, 0.0]",0.102,32
auprc,CLMBR_DAPT,CLMBR_SK,"0.167 [0.11, 0.233]","0.163 [0.107, 0.226]","0.004 [-0.009, 0.019]",0.556,32
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.801 [0.732, 0.858]","0.803 [0.728, 0.866]","-0.002 [-0.017, 0.015]",0.86,32
auroc,CLMBR_DAPT,CLMBR_SK,"0.807 [0.742, 0.862]","0.812 [0.735, 0.872]","-0.004 [-0.019, 0.014]",0.646,32
ece,CLMBR_DAPT,CLMBR_SK,"0.009 [0.004, 0.016]","0.009 [0.004, 0.016]","0.0 [-0.001, 0.001]",0.972,32
auprc,CLMBR_DAPT,GBM,"0.242 [0.155, 0.334]","0.192 [0.119, 0.273]","0.049 [0.028, 0.071]",0.0,512
auprc_c,CLMBR_DAPT,GBM,"0.854 [0.802, 0.9]","0.798 [0.746, 0.845]","0.056 [0.043, 0.069]",0.0,512
auroc,CLMBR_DAPT,GBM,"0.858 [0.807, 0.902]","0.792 [0.749, 0.835]","0.064 [0.05, 0.081]",0.0,512
ece,CLMBR_DAPT,GBM,"0.01 [0.007, 0.012]","0.012 [0.007, 0.018]","-0.003 [-0.006, 0.001]",0.132,512
auprc,CLMBR_DAPT,CLMBR_SK,"0.219 [0.145, 0.296]","0.205 [0.134, 0.286]","0.012 [-0.005, 0.032]",0.188,128
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.845 [0.783, 0.896]","0.843 [0.779, 0.896]","0.002 [-0.007, 0.012]",0.744,128
auroc,CLMBR_DAPT,CLMBR_SK,"0.85 [0.791, 0.899]","0.853 [0.79, 0.904]","-0.003 [-0.015, 0.008]",0.558,128
ece,CLMBR_DAPT,CLMBR_SK,"0.007 [0.004, 0.012]","0.007 [0.004, 0.012]","-0.0 [-0.001, 0.001]",0.946,128
auprc,CLMBR_DAPT,GBM,"0.136 [0.092, 0.192]","0.048 [0.02, 0.089]","0.086 [0.053, 0.128]",0.0,16
auprc_c,CLMBR_DAPT,GBM,"0.764 [0.695, 0.825]","0.571 [0.541, 0.606]","0.193 [0.127, 0.25]",0.0,16
auroc,CLMBR_DAPT,GBM,"0.77 [0.698, 0.83]","0.575 [0.547, 0.61]","0.193 [0.122, 0.253]",0.0,16
ece,CLMBR_DAPT,GBM,"0.011 [0.005, 0.019]","0.02 [0.008, 0.036]","-0.009 [-0.018, -0.002]",0.0,16
auprc,CLMBR,GBM,"0.171 [0.108, 0.237]","0.126 [0.081, 0.185]","0.043 [0.01, 0.083]",0.006,128
auprc_c,CLMBR,GBM,"0.815 [0.755, 0.866]","0.755 [0.71, 0.801]","0.059 [0.035, 0.085]",0.0,128
auroc,CLMBR,GBM,"0.82 [0.76, 0.87]","0.752 [0.713, 0.795]","0.066 [0.039, 0.096]",0.0,128
ece,CLMBR,GBM,"0.008 [0.004, 0.013]","0.01 [0.006, 0.015]","-0.002 [-0.003, -0.001]",0.0,128
auprc,CLMBR,GBM,"0.203 [0.129, 0.285]","0.214 [0.13, 0.308]","-0.01 [-0.045, 0.014]",0.51,1024
auprc_c,CLMBR,GBM,"0.832 [0.782, 0.877]","0.812 [0.764, 0.858]","0.019 [0.008, 0.031]",0.0,1024
auroc,CLMBR,GBM,"0.835 [0.787, 0.878]","0.809 [0.768, 0.85]","0.025 [0.012, 0.04]",0.0,1024
ece,CLMBR,GBM,"0.014 [0.009, 0.018]","0.015 [0.009, 0.022]","-0.001 [-0.005, 0.001]",0.24,1024
auprc,CLMBR_DAPT,GBM,"0.072 [0.044, 0.112]","0.037 [0.013, 0.076]","0.034 [0.022, 0.048]",0.0,2
auprc_c,CLMBR_DAPT,GBM,"0.628 [0.587, 0.671]","0.525 [0.51, 0.544]","0.102 [0.072, 0.136]",0.0,2
auroc,CLMBR_DAPT,GBM,"0.621 [0.581, 0.661]","0.53 [0.512, 0.555]","0.089 [0.061, 0.12]",0.0,2
ece,CLMBR_DAPT,GBM,"0.015 [0.007, 0.025]","0.169 [0.112, 0.225]","-0.154 [-0.202, -0.102]",0.0,2
auprc,CLMBR_DAPT,GBM,"0.089 [0.056, 0.131]","0.039 [0.015, 0.08]","0.048 [0.029, 0.075]",0.0,4
auprc_c,CLMBR_DAPT,GBM,"0.677 [0.614, 0.731]","0.524 [0.514, 0.536]","0.151 [0.098, 0.2]",0.0,4
auroc,CLMBR_DAPT,GBM,"0.674 [0.614, 0.726]","0.53 [0.517, 0.546]","0.142 [0.092, 0.19]",0.0,4
ece,CLMBR_DAPT,GBM,"0.013 [0.007, 0.022]","0.162 [0.107, 0.223]","-0.149 [-0.201, -0.1]",0.0,4
auprc,CLMBR,CLMBR_SK,"0.203 [0.129, 0.285]","0.244 [0.152, 0.348]","-0.041 [-0.067, -0.016]",0.0,1024
auprc_c,CLMBR,CLMBR_SK,"0.832 [0.782, 0.877]","0.859 [0.807, 0.905]","-0.027 [-0.038, -0.015]",0.0,1024
auroc,CLMBR,CLMBR_SK,"0.835 [0.787, 0.878]","0.863 [0.811, 0.907]","-0.027 [-0.038, -0.015]",0.0,1024
ece,CLMBR,CLMBR_SK,"0.014 [0.009, 0.018]","0.013 [0.009, 0.018]","0.0 [-0.0, 0.001]",0.318,1024
auprc,CLMBR,CLMBR_SK,"0.087 [0.053, 0.132]","0.114 [0.079, 0.159]","-0.026 [-0.049, -0.008]",0.002,8
auprc_c,CLMBR,CLMBR_SK,"0.689 [0.623, 0.742]","0.737 [0.669, 0.803]","-0.049 [-0.078, -0.021]",0.002,8
auroc,CLMBR,CLMBR_SK,"0.691 [0.627, 0.742]","0.742 [0.677, 0.801]","-0.051 [-0.08, -0.022]",0.0,8
ece,CLMBR,CLMBR_SK,"0.013 [0.006, 0.022]","0.012 [0.006, 0.022]","0.0 [-0.001, 0.002]",0.37,8
auprc,CLMBR_DAPT,CLMBR_SK,"0.248 [0.159, 0.346]","0.244 [0.152, 0.348]","0.002 [-0.019, 0.033]",0.852,1024
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.857 [0.805, 0.9]","0.859 [0.807, 0.905]","-0.002 [-0.013, 0.01]",0.704,1024
auroc,CLMBR_DAPT,CLMBR_SK,"0.86 [0.809, 0.904]","0.863 [0.811, 0.907]","-0.003 [-0.019, 0.012]",0.668,1024
ece,CLMBR_DAPT,CLMBR_SK,"0.013 [0.009, 0.018]","0.013 [0.009, 0.018]","0.0 [-0.001, 0.001]",0.9,1024
auprc,CLMBR,GBM,"0.087 [0.053, 0.132]","0.045 [0.019, 0.086]","0.04 [0.02, 0.067]",0.0,8
auprc_c,CLMBR,GBM,"0.689 [0.623, 0.742]","0.564 [0.543, 0.59]","0.122 [0.072, 0.166]",0.0,8
auroc,CLMBR,GBM,"0.691 [0.627, 0.742]","0.573 [0.553, 0.598]","0.114 [0.067, 0.16]",0.0,8
ece,CLMBR,GBM,"0.013 [0.006, 0.022]","0.071 [0.045, 0.102]","-0.058 [-0.081, -0.038]",0.0,8
auprc,CLMBR,CLMBR_SK,"0.186 [0.121, 0.258]","0.218 [0.137, 0.307]","-0.032 [-0.053, -0.01]",0.0,256
auprc_c,CLMBR,CLMBR_SK,"0.824 [0.767, 0.873]","0.85 [0.793, 0.9]","-0.027 [-0.038, -0.014]",0.0,256
auroc,CLMBR,CLMBR_SK,"0.829 [0.773, 0.876]","0.859 [0.803, 0.906]","-0.03 [-0.042, -0.016]",0.0,256
ece,CLMBR,CLMBR_SK,"0.008 [0.005, 0.012]","0.008 [0.005, 0.012]","0.0 [-0.0, 0.001]",0.3,256
auprc,CLMBR_DAPT,GBM,"0.168 [0.107, 0.229]","0.049 [0.019, 0.088]","0.118 [0.073, 0.173]",0.0,32
auprc_c,CLMBR_DAPT,GBM,"0.802 [0.737, 0.861]","0.577 [0.552, 0.598]","0.226 [0.167, 0.28]",0.0,32
auroc,CLMBR_DAPT,GBM,"0.807 [0.745, 0.865]","0.586 [0.558, 0.609]","0.222 [0.161, 0.275]",0.0,32
ece,CLMBR_DAPT,GBM,"0.009 [0.004, 0.016]","0.011 [0.005, 0.02]","-0.002 [-0.004, -0.0]",0.008,32
auprc,CLMBR,GBM,"0.186 [0.121, 0.258]","0.164 [0.105, 0.231]","0.023 [0.005, 0.04]",0.014,256
auprc_c,CLMBR,GBM,"0.824 [0.767, 0.873]","0.78 [0.73, 0.829]","0.042 [0.027, 0.061]",0.0,256
auroc,CLMBR,GBM,"0.829 [0.773, 0.876]","0.777 [0.735, 0.82]","0.049 [0.032, 0.074]",0.0,256
ece,CLMBR,GBM,"0.008 [0.005, 0.012]","0.013 [0.007, 0.02]","-0.005 [-0.008, -0.002]",0.0,256
auprc,CLMBR,CLMBR_SK,"0.194 [0.124, 0.276]","0.23 [0.144, 0.326]","-0.036 [-0.058, -0.012]",0.0,512
auprc_c,CLMBR,CLMBR_SK,"0.827 [0.773, 0.874]","0.856 [0.803, 0.903]","-0.029 [-0.038, -0.018]",0.0,512
auroc,CLMBR,CLMBR_SK,"0.83 [0.779, 0.876]","0.862 [0.81, 0.907]","-0.032 [-0.042, -0.02]",0.0,512
ece,CLMBR,CLMBR_SK,"0.01 [0.007, 0.013]","0.009 [0.006, 0.012]","0.001 [-0.0, 0.001]",0.056,512
auprc,CLMBR_DAPT,CLMBR_SK,"0.234 [0.151, 0.321]","0.218 [0.137, 0.307]","0.015 [-0.003, 0.041]",0.13,256
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.853 [0.797, 0.9]","0.85 [0.793, 0.9]","0.002 [-0.008, 0.014]",0.746,256
auroc,CLMBR_DAPT,CLMBR_SK,"0.858 [0.804, 0.904]","0.859 [0.803, 0.906]","-0.001 [-0.017, 0.013]",0.892,256
ece,CLMBR_DAPT,CLMBR_SK,"0.008 [0.005, 0.012]","0.008 [0.005, 0.012]","0.0 [-0.0, 0.001]",0.572,256
auprc,CLMBR,CLMBR_SK,"0.128 [0.085, 0.18]","0.163 [0.107, 0.226]","-0.035 [-0.058, -0.015]",0.0,32
auprc_c,CLMBR,CLMBR_SK,"0.766 [0.702, 0.824]","0.803 [0.728, 0.866]","-0.036 [-0.054, -0.014]",0.002,32
auroc,CLMBR,CLMBR_SK,"0.771 [0.709, 0.828]","0.812 [0.735, 0.872]","-0.041 [-0.06, -0.015]",0.0,32
ece,CLMBR,CLMBR_SK,"0.009 [0.005, 0.016]","0.009 [0.004, 0.016]","0.0 [-0.0, 0.001]",0.304,32
auprc,CLMBR,CLMBR_SK,"0.062 [0.036, 0.099]","0.078 [0.051, 0.12]","-0.016 [-0.03, -0.005]",0.004,2
auprc_c,CLMBR,CLMBR_SK,"0.605 [0.567, 0.637]","0.646 [0.594, 0.703]","-0.042 [-0.076, -0.013]",0.0,2
auroc,CLMBR,CLMBR_SK,"0.598 [0.561, 0.631]","0.639 [0.589, 0.694]","-0.042 [-0.08, -0.006]",0.012,2
ece,CLMBR,CLMBR_SK,"0.014 [0.006, 0.026]","0.015 [0.007, 0.028]","-0.002 [-0.003, -0.001]",0.0,2
auprc,CLMBR,CLMBR_SK,"0.075 [0.046, 0.112]","0.085 [0.052, 0.132]","-0.009 [-0.034, 0.009]",0.414,4
auprc_c,CLMBR,CLMBR_SK,"0.653 [0.606, 0.695]","0.671 [0.61, 0.735]","-0.018 [-0.056, 0.013]",0.288,4
auroc,CLMBR,CLMBR_SK,"0.652 [0.608, 0.688]","0.674 [0.613, 0.737]","-0.023 [-0.061, 0.015]",0.276,4
ece,CLMBR,CLMBR_SK,"0.015 [0.007, 0.025]","0.015 [0.007, 0.026]","-0.0 [-0.002, 0.001]",0.528,4
auprc,CLMBR,GBM,"0.146 [0.093, 0.208]","0.086 [0.054, 0.129]","0.058 [0.027, 0.1]",0.0,64
auprc_c,CLMBR,GBM,"0.793 [0.729, 0.849]","0.702 [0.656, 0.75]","0.09 [0.054, 0.126]",0.0,64
auroc,CLMBR,GBM,"0.798 [0.737, 0.854]","0.704 [0.666, 0.748]","0.093 [0.055, 0.127]",0.0,64
ece,CLMBR,GBM,"0.008 [0.004, 0.014]","0.011 [0.006, 0.02]","-0.003 [-0.007, -0.001]",0.0,64
auprc,CLMBR,CLMBR_SK,"0.146 [0.093, 0.208]","0.185 [0.12, 0.261]","-0.038 [-0.054, -0.024]",0.0,64
auprc_c,CLMBR,CLMBR_SK,"0.793 [0.729, 0.849]","0.83 [0.764, 0.887]","-0.038 [-0.049, -0.024]",0.0,64
auroc,CLMBR,CLMBR_SK,"0.798 [0.737, 0.854]","0.839 [0.771, 0.894]","-0.04 [-0.052, -0.025]",0.0,64
ece,CLMBR,CLMBR_SK,"0.008 [0.004, 0.014]","0.009 [0.004, 0.014]","-0.0 [-0.001, 0.001]",0.708,64
auprc,CLMBR_DAPT,GBM,"0.234 [0.151, 0.321]","0.164 [0.105, 0.231]","0.069 [0.044, 0.096]",0.0,256
auprc_c,CLMBR_DAPT,GBM,"0.853 [0.797, 0.9]","0.78 [0.73, 0.829]","0.07 [0.057, 0.087]",0.0,256
auroc,CLMBR_DAPT,GBM,"0.858 [0.804, 0.904]","0.777 [0.735, 0.82]","0.078 [0.061, 0.1]",0.0,256
ece,CLMBR_DAPT,GBM,"0.008 [0.005, 0.012]","0.013 [0.007, 0.02]","-0.005 [-0.009, -0.002]",0.0,256
